
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
0             0x0             QNX4 Boot Block
18729837      0x11DCB6D       Unix path: /dev/shmem/qt_displays.conf" for reading
18730199      0x11DCCD7       Unix path: /dev/shmem/qt_displays.conf" for reading
18890783      0x120401F       Unix path: /etc/startup/scripts/slog_log_manager.sh persistence initializing ######################","clock":"cycles","time":"37555674500"}
18925875      0x120C933       Unix path: /etc/startup/scripts/slog_log_manager.sh persistence initializing ######################","clock":"cycles","time":"36164797625"}
19032991      0x1226B9F       Unix path: /usr/lib/graphics/iMX8QM/graphics_ford_imx8qm_qnx71_4.conf
19033167      0x1226C4F       Unix path: /dev/shmem/dpulog for DPU log.
19078054      0x1231BA6       Unix path: /usr/lib/graphics/drm.conf
19078498      0x1231D62       Unix path: /dev/device_cfg/display
19091855      0x123518F       Unix path: /usr/lib/graphics/drm.conf
19094043      0x1235A1B       Unix path: /dev/gpio/DISPLAY_EN_N/state
19094405      0x1235B85       Unix path: /dev/gpio/DISPLAY_L_PDB_N/state
19094771      0x1235CF3       Unix path: /dev/gpio/DISPLAY_L_INTB_N/irq
19104353      0x1238261       Unix path: /var/display/override_id_4
19104534      0x1238316       Unix path: /var/display/rotation_4
19174754      0x1249562       Unix path: /etc/system/config/mtouch_sync4_0.conf
19176294      0x1249B66       Unix path: /dev/device_cfg/display/i2cPath,rotary_display_index=1,attach_point=mtouch_
19177271      0x1249F37       Unix path: /etc/system/config/mtouch_sync4_Gen2_ID1F_options.conf
19186132      0x124C1D4       Unix path: /dev/device_cfg/display/i2cPath
19187359      0x124C69F       Unix path: /dev/device_cfg/base/processorRevision on attempt 0
19187668      0x124C7D4       Unix path: /dev/device_cfg/base/syncGen on attempt 0
19187952      0x124C8F0       Unix path: /dev/device_cfg/rvc/drvcI2CPath on attempt 0
19188112      0x124C990       Unix path: /dev/device_cfg/rvc/drvcPower on attempt 0
19188270      0x124CA2E       Unix path: /dev/device_cfg/rvc/drvcClock on attempt 0
19189268      0x124CE14       Unix path: /dev/device_cfg/rvc/drvcCsiLanes on attempt 0
19189791      0x124D01F       Unix path: /etc/startup/scripts/slog_log_manager.sh persistence initializing ######################","clock":"cycles","time":"37281698250"}
19200431      0x124F9AF       Unix path: /usr/lib/graphics/iMX8QM/graphics_ford_imx8qm_qnx71_4.conf
19200607      0x124FA5F       Unix path: /dev/shmem/dpulog for DPU log.
19209469      0x1251CFD       Unix path: /dev/device_cfg/rvc/reverseMode on attempt 0
19210059      0x1251F4B       Unix path: /dev/device_cfg/rvc/drvcLock on attempt 0
19210216      0x1251FE8       Unix path: /dev/device_cfg/rvc/reve   0  INFO SendTriggerMessage(92): Send Message: Success
19229221      0x1256A25       Unix path: /etc/startup/scripts/slog_log_manager.sh persistence initializing ######################","clock":"cycles","time":"35912581250"}
19235860      0x1258414       Unix path: /dev/shmem/qt_displays.conf" for reading
19238113      0x1258CE1       Unix path: /etc/startup/scripts/slog_log_manager.sh persistence initializing ######################","clock":"cycles","time":"36088574000"}
19269926      0x1260926       Unix path: /usr/lib/graphics/drm.conf
19270370      0x1260AE2       Unix path: /dev/device_cfg/display
19271439      0x1260F0F       Unix path: /usr/lib/graphics/drm.conf
19273962      0x12618EA       Unix path: /etc/startup/scripts/slog_log_manager.sh persistence initializing ######################","clock":"cycles","time":"35961391875"}
19296429      0x12670AD       Unix path: /dev/gpio/DISPLAY_EN_N/state (set value: 1)
19297193      0x12673A9       Unix path: /dev/gpio/DISPLAY_L_PDB_N/state (set value: 0)
19302443      0x126882B       Unix path: /dev/gpio/DISPLAY_EN_N/state
19302805      0x1268995       Unix path: /dev/gpio/DISPLAY_L_PDB_N/state
19303171      0x1268B03       Unix path: /dev/gpio/DISPLAY_L_INTB_N/irq
19313731      0x126B443       Unix path: /dev/gpio/DISPLAY_EN_N/state (set value: 1)
19314355      0x126B6B3       Unix path: /dev/gpio/DISPLAY_L_PDB_N/state (set value: 0)
19316849      0x126C071       Unix path: /var/display/override_id_4
19317030      0x126C126       Unix path: /var/display/rotation_4
19352861      0x1274D1D       Unix path: /etc/startup/scripts/slog_log_manager.sh persistence initializing ######################","clock":"cycles","time":"35811980875"}
19380932      0x127BAC4       Unix path: /lib/dll/pci/pci_debug2.so
19381167      0x127BBAF       Unix path: /lib/dll/pci/pci_debug2.so, v2.1 loaded successfully
19401141      0x12809B5       Unix path: /dev/gpio/DISPLAY_EN_N/state (set value: 1)
19402733      0x1280FED       Unix path: /dev/gpio/DISPLAY_L got error 265 (No route to host) sending packet to 224.0.0.251 on interface 10.1.0.3/fec0/33
19424676      0x12865A4       Unix path: /etc/startup/scripts/slog_log_manager.sh persistence initializing ######################","clock":"cycles","time":"36230277500"}
19525766      0x129F086       Unix path: /etc/startup/scripts/slog_log_manager.sh persistence initializing ######################","clock":"cycles","time":"36222046625"}
19590195      0x12AEC33       Unix path: /etc/startup/scripts/slog_log_manager.sh persistence initializing ######################","clock":"cycles","time":"36502595750"}
19603749      0x12B2125       Unix path: /etc/startup/scripts/slog_log_manager.sh persistence initializing ######################","clock":"cycles","time":"35782522875"}
19616113      0x12B5171       Unix path: /dev/gpio/DISPLAY_EN_N/state (set value: 1)
19617151      0x12B557F       Unix path: /dev/gpio/DISPLAY_L_PDB_N/state (set value: 0)
19632323      0x12B90C3       Unix path: /etc/startup/scripts/slog_log_manager.sh persistence initializing ######################","clock":"cycles","time":"36416531375"}
19681193      0x12C4FA9       Unix path: /lib/dll/pci/pci_debug2.so
19779707      0x12DD07B       Unix path: /etc/startup/scripts/slog_log_manager.sh persistence initializing ######################","clock":"cycles","time":"36222217875"}
19987846      0x130FD86       Unix path: /dev/gpio/DISPLAY_EN_N/state (set value: 1)
19988470      0x130FFF6       Unix path: /dev/gpio/03
20002546      0x13136F2       Unix path: /etc/startup/scripts/slog_log_manager.sh persistence initializing ######################","clock":"cycles","time":"35999338625"}
20069429      0x1323C35       Unix path: /dev/gpio/DISPLAY_EN_N/state (set value: 1)
20070053      0x1323EA5       Unix path: /dev/gpio/DISPLAY_L_PDB_N/state (set value: 0)
20114338      0x132EBA2       Unix path: /dev/gpio/DISPLAY_EN_N/state (set value: 1)
20115102      0x132EE9E       Unix path: /dev/gpio/DISPLAY_L_PDB_N/state (set value: 0)
20132937      0x1333449       Unix path: /dev/gpio/DISPLAY_L_PDB_N/state (set value: 0)
20226239      0x134A0BF       Unix path: /dev/shmem/qt_displays.conf" for reading
20228492      0x134A98C       Unix path: /etc/startup/scripts/slog_log_manager.sh persistence initializing ######################","clock":"cycles","time":"35869077250"}
20265872      0x1353B90       Unix path: /dev/gpio/DISPLAY_EN_N/state (set value: 1)
20266496      0x1353E00       Unix path: /dev/gpio/DISPLAY_L_PDB_N/state (set value: 0)
20277017      0x1356719       Unix path: /etc/startup/scripts/slog_log_manager.sh persistence initializing ######################","clock":"cycles","time":"36053804500"}
20412259      0x1377763       Unix path: /etc/startup/scripts/slog_log_manager.sh persistence initializing ######################","clock":"cycles","time":"36139566500"}
20500610      0x138D082       Unix path: /dev/shmem/qt_displays.conf" for reading
20500683      0x138D0CB       Unix path: /etc/startup/scripts/slog_log_manager.sh persistence initializing ######################","clock":"cycles","time":"36780832750"}
20709805      0x13C01AD       Unix path: /etc/sysconfig/skeletor_queues_tempdirs.json -m -d -b /fs/tmpfs_slm:SLM_INTERMIDIATE
20710321      0x13C03B1       Unix path: /etc/sysconfig/pps_acl -t 5000 -U 13:13_slm:SLM_INTERMIDIATE
20710418      0x13C0412       Unix path: /etc/sysconfig/sysctl.conf_slm:SLM_INTERMIDIATE
20713735      0x13C1107       Unix path: /etc/keymgr/config/keyDataInfo.xml -U 170:170,160,700,1002_slm:SLM_INTERMIDIATE
20716143      0x13C1A6F       Unix path: /etc/system/config/io-audio.conf_slm:SLM_INTERMIDIATE
20746669      0x13C91AD       Unix path: /etc/sysconfig/skeletor_queues_tempdirs.json -m -d -b /fs/tmpfs_slm:SLM_INTERMIDIATE
20747185      0x13C93B1       Unix path: /etc/sysconfig/pps_acl -t 5000 -U 13:13_slm:SLM_INTERMIDIATE
20747282      0x13C9412       Unix path: /etc/sysconfig/sysctl.conf_slm:SLM_INTERMIDIATE
20750507      0x13CA0AB       Unix path: /etc/keymgr/config/keyDataInfo.xml -U 170:170,160,700,1002_slm:SLM_INTERMIDIATE
20753976      0x13CAE38       Unix path: /etc/system/config/io-audio.conf_slm:SLM_INTERMIDIATE
20770980      0x13CF0A4       Unix path: /var/run/diagnostics/anlyt-794728-0.socket
20771177      0x13CF169       Unix path: /var/run/diagnostics/anlyt-794728-1.socket
20810369      0x13D8A81       Unix path: /usr/lib/graphics/iMX8QM/graphics_ford_imx8qm_qnx71_4.conf
20810545      0x13D8B31       Unix path: /dev/shmem/dpulog for DPU log.
21012536      0x140A038       Unix path: /etc/sysconfig/alm_config.xml. Using default values. [src/alm_config.cpp:132:load]
21022143      0x140C5BF       Unix path: /dev/shmem/qt_displays.conf" for reading
21086381      0x141C0AD       Unix path: /dev/gpio/DISPLAY_EN_N/state (set value: 1)
21087005      0x141C31D       Unix path: /dev/gpio/DISPLAY_L_PDB_N/state (set value: 0)
21095177      0x141E309       Unix path: /dev/gpio/DISPLAY_EN_N/state (set value: 1)
21098373      0x141EF85       Unix path: /dev/gpio/DISPLAY_L_PDB_N/state (set value: 0)
21111430      0x1422286       Unix path: /dev/gpio/DISPLAY_L_PDB_N/state (set value: 0)
21141828      0x1429944       Unix path: /lib/dll/pci/pci_hw-nxp-imx8-cpu.so
21153652      0x142C774       Unix path: /dev/gpio/DISPLAY_EN_N/state (set value: 1)
21154690      0x142CB82       Unix path: /dev/gpio/DISPLAY_L_PDB_N/state (set value: 0)
21174318      0x143182E       Unix path: /etc/startup/scripts/slog_log_manager.sh persistence initializing ######################","clock":"cycles","time":"36235298750"}
21193853      0x143647D       Unix path: /var/run/diagnostics/anlyt-1228932-0.socket
21195091      0x1436953       Unix path: /var/run/diagnostics/anlyt-253987-0.socket
21257347      0x1445C83       Unix path: /dev/gpio/DISPLAY_EN_N/state (set value: 1)
21258111      0x1445F7F       Unix path: /dev/gpio/DISPLAY_L_PDB_N/state (set value: 0)
21325542      0x14566E6       Unix path: /etc/startup/scripts/slog_log_manager.sh persistence initializing ######################","clock":"cycles","time":"36023691750"}
21362907      0x145F8DB       Unix path: /dev/gpio/DISPLAY_EN_N/state (set value: 1)
21364230      0x145FE06       Unix path: /dev/gpio/DISPLAY_L_PDB_N/state (set value: 0)
21579048      0x1494528       Unix path: /dev/gpio/DISPLAY_EN_N/state (set value: 1)
21579672      0x1494798       Unix path: /dev/gpio/DISPLAY_L_PDB_N/state (set value: 0)
21588229      0x1496905       Unix path: /dev/shmem/qt_displays.conf" for reading
21619535      0x149E34F       Unix path: /etc/startup/scripts/slog_log_manager.sh persistence initializing ######################","clock":"cycles","time":"36167267750"}
21631094      0x14A1076       Unix path: /dev/shmem/qt_displays.conf" for reading
21633347      0x14A1943       Unix path: /etc/startup/scripts/slog_log_manager.sh persistence initializing ######################","clock":"cycles","time":"36162156625"}
21718664      0x14B6688       Unix path: /dev/gpio/DISPLAY_EN_N/state (set value: 1)
21719428      0x14B6984       Unix path: /dev/gpio/DISPLAY_L_PDB_N/state (set value: 0)
21758616      0x14C0298       Unix path: /etc/startup/scripts/slog_log_manager.sh persistence initializing ######################","clock":"cycles","time":"35919210125"}
21782045      0x14C5E1D       Unix path: /dev/gpio/DISPLAY_EN_N/state (set value: 1)
21832440      0x14D22F8       Unix path: /dev/shmem/qt_displays.conf" for reading
21834693      0x14D2BC5       Unix path: /etc/startup/scripts/slog_log_manager.sh persistence initializing ######################","clock":"cycles","time":"36541715000"}
21837733      0x14D37A5       Unix path: /etc/startup/scripts/slog_log_manager.sh persistence initializing ######################","clock":"cycles","time":"36346651125"}
21860000      0x14D8EA0       Unix path: /etc/startup/scripts/slog_log_manager.sh persistence initializing ######################","clock":"cycles","time":"36080031375"}
21943291      0x14ED3FB       Unix path: /dev/gpio/DISPLAY_EN_N/state (set value: 1)
